userName,content,at
puspita harniyanti,"Gak bisa kebuka aplikasi, syg bgt saldo jd ngendap!",2022-12-02 12:42:39
Fitria,Aplikasi ngk bisa dibuka eror terus,2022-12-01 18:16:47
ytta,"mau sign in tapi ""Internal server error"" terus",2022-12-01 17:27:04
Jono Gibran,kopi dn kueh ny sngt enk dn mntp. sngt trash dn lzat,2022-12-01 01:33:14
Cathleen Tiffany,STARBUCKSZZZZ,2022-11-30 22:38:18
ilvan prasetiyo,Gmana ini masa saya ga bisa login.. Bugnya benerin dlu dong,2022-11-30 16:08:29
Andi ummah,TDK bisa login,2022-11-30 12:51:12
H N,"Aplikasinya ga bisa open udah ditungguin seharian, gimana ni? Mana masih ada saldonya",2022-11-30 12:35:00
Deaa Rahman,"Kesel bet dah, YANG BLG SBUX MINUMAN FANCY HOAX NJIR, APK JELEK GINI BANYAK BUG, ISI SALDO GA MUNCUL"" SALDONYA, INCOME LU BNYK TP BENERIN APK GINIAN AJA SUSAH AMAT",2022-11-30 10:34:02
Oka Angga Pramana,"Aplikasi sangat lambat saat akan digunakan membeli minuman lewat aplikasi, saat mencari store terdekat proses loadnya lama, mohon di perbaiki,",2022-11-30 10:10:58
Roy Simanjuntak,Mantap,2022-11-27 14:37:36
Novi Tiara Sari,"Kenapa saya mau masukin pin untuk pembayaran saya gagal terus , padahal sudah bener pin nya",2022-11-27 14:18:53
Taryono Aja,Brand doang baguss Tapi bikin aplikasi sendiri aja jelekk nya minta ampun,2022-11-27 13:42:10
Abdul Latief Rahmani,Engga bisa kebuka aplikasinya,2022-11-26 17:51:04
Patriastama Andrianto,"Tidak bisa dibuka sama sekali, pakai lupa password juga tidak ada balasan di email",2022-11-25 18:16:53
1.Ricky Suhandi Panjaitan,🇲🇨😎👉🏻📝♂️👍🏻♂️📝👈🏻😎🇲🇨,2022-11-25 04:36:48
ismail M,Percuma banyak colokan listriknya jika tidak bisa di gunakan. Tidak ada arus listriknya. Starbucks alauddin Makassar Harus selalu ingatin stafnya.👎👎,2022-11-24 17:32:10
edi wahyudi,"Sumpah yaa ini app tergajelas wkwkw, mau sign up aja ga bisa2, pantes aja banyak yg kasih bintang 1, wajar sii. IT lo mana si ini, perusahaan besar tpi kaya gini",2022-11-24 16:17:49
Ima Mayo,"Dapet voucher gratis minuman tapi tetap disuruh top up lagi, buat apa top up kan gratis. Gajelas",2022-11-24 13:36:58
yerda melia agustin,"Gabisa login dari kapan tau, cuma loading aja",2022-11-22 15:44:50
